org_name,org_type,family,enemy_plant,habitat,season,landConsump,landCons,root_depth,food_source,consump_amount,pestAtt,pestAtt_amnt,pestRep,pestRep_amnt,end_of_harvest,compMat_type,compMat_amnt,carbon_cont,nitro_cont,consump_area,main_crop,main_companion,reqTemp
Pepper,Plant,Solanaceae,"Brassicaceae, Fabaceae, rosaceae, solanaceae, cucurbitaceae, apiaceae",Well-drained soil,Spring,0.5,1,42 inches,n/a,n/a,"Catterpillar, Beetle, Aphid, Leafhopper, Earworm, Armyworm, Maggot, Cutworms, Mite",1700,n/a,0,no,plant clipping,0.41,0.3,0.3,,no,n/a,21.1
Cucumber,Plant,Cucurbitaceae,"Brassicaceae, cucurbitaceae, Solanaceae,  Apiaceae, Lamiaceae",Well-drained soil,"Summer, Fall",0.33,1,42 inches,n/a,n/a,"Aphid, Beetle, Pickleworm, Vine borer, Mite",1330,n/a,0,no,plant clipping,0.48,0.48,0.48,,no ,n/a,26.67
Melon,Plant,cucurbitaceae,"Brassicaceae, cucurbitaceae, Solanaceae,  Apiaceae, Lamiaceae",Well-drained soil,Spring,1,1,4 inches,n/a,n/a,"Aphid, Pickleworm, Beetle, Thrip, White fly, Leaf miner",4000,n/a,0,no,plant clipping,2.24,0.017,0.017,,no ,n/a,26.5
Cauliflower,Plant,Brassicaceae,"Brassicaceae, cucurbitaceae, Solanaceae, rosaceae, asteraceae",Moist soil,"Spring, Fall",0.5,1,39 inches,n/a,n/a,"Armyworm, Aphid, Looper, Beetle, Cutworm, Moth, Cabbageworm, Thrip",2600,n/a,0,no,plant clipping,1.65,0.45,0.45,,no ,n/a,16.94
Parsnip,Plant,Apiaceae ,"apiaceae, cucurbitaceae, solanaceae ",Well-drained soil,Spring and Fall,0.1,1,12 inches,n/a,n/a,"aphid, armyworm, carrot rust fly, cutworm",2000,n/a,0,no,plant clipping,0.041,0.0053,0.0053,,no ,n/a,15.56
Okra,Plant,Malvaceae,"Malvaceae, cucurbitaceae, Solanaceae, Convolvulaceae",Well-drained soil,Spring and Summer,0.33,1,48 inches,n/a,n/a,"earworm, beetle, aphid, leaf footed bug, stink bug, corn borer, leaf miner",2449,"aphid, stink bug, leaf footed bug",4000,yes,plant clipping,0.0047,0.0012,0.0012,,no ,n/a,28.06
Garlic,Plant,Amaryllidaceae,"Amaryllidaceae, Fabaceae, Asparagaceae, Lamiaceae, Apiaceae, rosaceae ",Moist well-drained soil,"Spring, Fall",0.1,1,9 inches,n/a,n/a,"Mite, Leafminer, Maggot, Thrip",1750,"Moth, Mite, Looper, Beetle, Aphid, Ants, Snail, Onion Fly",3500,yes,plant clipping,0.55,0.52,0.52,,yes,"cabbage, pepper, tomato",7.22
Beet,Plant,Amaranthaceae,"Amaranthaceae, Fabaceae",Well-drained soil,"Spring, Summer, Fall, Winter",0.05,1,42 inches,n/a,n/a,"aphid, nematode, leafhopper, webworm, beetle, cutworm, corn borer, leaf miner, maggot, mite",4000,n/a,0,no,plant clipping,1.11,0.056,0.056,,no ,n/a,21.5
Sunflower,Plant,Asteraceae,"Asteraceae, solanaceae, fabaceae, apiaceae",Moist well-drained soil,"Summer, Fall",0.33,1,48 inches,n/a,n/a,"Aphid, Cutworm, Lygus Bug, Beetle, Moths, Midge, Catterpillar, Weevil, Wireworm, Birds, Squirrel",1050,Aphids,3250,no,sunflower stalk,0.00038,0.0000247,0.0000247,,no,n/a,23.5
Yam,Plant,Convolvulaceae,"Convolvulaceae, cucurbitaceae, Solanaceae, Asteraceae",Well-drained soil,"spring, summer, fall, winter",0.33,1,59 inches,n/a,n/a,"nematode, mealy bug, beetle",2025,n/a,0,no,plant clipping,0.027,0.0049,0.0049,,no ,n/a,27.5
